user_id,user_name,user_url,taste_cnt,follower_cnt,following_cnt
97,spoon184,https://distiller.com/profile/spoon184,0,0,1
98,Pedro-Vieira,https://distiller.com/profile/pedro-vieira,3,0,2
99,Matt-Bagot,https://distiller.com/profile/matt-bagot,20,6,12
100,lmrobins,https://distiller.com/profile/lmrobins,1,3,11
101,kunalrajani,https://distiller.com/profile/kunalrajani,0,0,1
102,tom-france44,https://distiller.com/profile/tom-france44,23,10,1
103,Sharkins,https://distiller.com/profile/sharkins,12,0,11
104,Kochmanski,https://distiller.com/profile/kochmanski,46,4,10
105,Zenox,https://distiller.com/profile/zenox,90,7,5
106,Tanya-Robinson,https://distiller.com/profile/tanya-robinson,0,1,2
107,Dreaming-of-Islay,https://distiller.com/profile/dreaming-of-islay,315,560,73
108,Choi-Geonu,https://distiller.com/profile/choi-geonu,11,1,1
109,JonathanK,https://distiller.com/profile/jonathank,0,0,1
110,Magnus-Johansson,https://distiller.com/profile/magnus-johansson,107,17,19
111,Rosy-Ashlee,https://distiller.com/profile/rosy-ashlee,0,0,1
112,phileatsLA,https://distiller.com/profile/phileatsla,35,8,1
113,rye-an,https://distiller.com/profile/rye-an,0,0,3
114,deeselg,https://distiller.com/profile/deeselg,22,2,2
115,justaweedram,https://distiller.com/profile/justaweedram,9,0,4
116,JesseFisher1981,https://distiller.com/profile/jessefisher1981,0,0,16
117,scooter99,https://distiller.com/profile/scooter99,145,0,2
118,david,https://distiller.com/profile/david,21,15,14
119,Nicole-Myers,https://distiller.com/profile/nicole-myers,0,0,2
120,--370,https://distiller.com/profile/370,7,0,2
121,Timothy-Torres,https://distiller.com/profile/timothy-torres,0,2,5
122,Fafnir187,https://distiller.com/profile/fafnir187,185,26,9
123,mbb2486,https://distiller.com/profile/mbb2486,34,0,1
124,LoyaltyLiquors121,https://distiller.com/profile/loyaltyliquors121,51,10,14
125,nbdesai24,https://distiller.com/profile/nbdesai24,0,0,3
126,Nomadic_Novas,https://distiller.com/profile/nomadic_novas,1,0,10
127,cjdunlap2124,https://distiller.com/profile/cjdunlap2124,26,0,1
128,jalexander01,https://distiller.com/profile/jalexander01,6,0,6
129,rwelliver2020,https://distiller.com/profile/rwelliver2020,1,0,4
130,wesleydr2,https://distiller.com/profile/wesleydr2,2,0,7
